ID,MLU,Showing,Pointing,Noun_count,Pronoun_count,Same_Referent
6,6,0.0,0.0,1.0,1.0,0.0
6,6,0.0,0.0,1.0,1.0,0.0
6,11,0.0,0.0,1.0,4.0,0.0
6,14,0.0,0.0,1.0,4.0,0.0
6,11,0.0,0.0,1.0,4.0,0.0
6,20,0.0,0.0,3.0,3.0,0.0
6,12,0.0,0.0,1.0,3.0,0.0
6,7,0.0,0.0,1.0,3.0,0.0
6,14,0.0,0.0,1.0,3.0,0.0
6,9,0.0,0.0,2.0,2.0,0.0
6,16,0.0,0.0,2.0,2.0,0.0
6,8,0.0,0.0,2.0,2.0,0.0
6,7,0.0,0.0,1.0,2.0,0.0
6,7,0.0,0.0,1.0,2.0,0.0
6,7,0.0,0.0,1.0,2.0,0.0
6,9,0.0,0.0,1.0,2.0,0.0
6,9,0.0,0.0,1.0,2.0,0.0
6,6,0.0,0.0,1.0,2.0,0.0
6,11,0.0,0.0,1.0,2.0,0.0
6,8,0.0,0.0,1.0,2.0,0.0
6,12,0.0,0.0,1.0,2.0,0.0
6,8,0.0,0.0,1.0,2.0,0.0
6,10,0.0,0.0,1.0,2.0,0.0
6,12,0.0,0.0,1.0,2.0,0.0
6,7,0.0,0.0,1.0,2.0,0.0
6,8,0.0,0.0,1.0,2.0,0.0
6,9,0.0,0.0,1.0,2.0,0.0
6,9,0.0,0.0,1.0,2.0,0.0
6,8,0.0,0.0,1.0,2.0,0.0
6,8,0.0,0.0,1.0,2.0,0.0
6,7,0.0,0.0,1.0,2.0,0.0
6,14,0.0,0.0,1.0,2.0,0.0
6,8,0.0,0.0,1.0,2.0,0.0
6,10,0.0,0.0,1.0,2.0,0.0
6,10,0.0,0.0,1.0,2.0,0.0
6,12,0.0,0.0,1.0,2.0,0.0
6,8,0.0,0.0,1.0,2.0,0.0
6,9,0.0,0.0,1.0,2.0,0.0
6,4,0.0,0.0,1.0,2.0,0.0
6,9,0.0,0.0,1.0,2.0,0.0
6,8,0.0,0.0,1.0,2.0,0.0
6,10,0.0,0.0,3.0,1.0,0.0
6,12,0.0,0.0,3.0,1.0,0.0
6,7,0.0,0.0,2.0,1.0,0.0
6,6,0.0,0.0,2.0,1.0,0.0
6,9,1.0,0.0,2.0,1.0,0.0
6,8,1.0,0.0,2.0,1.0,0.0
6,7,0.0,1.0,2.0,1.0,0.0
6,7,0.0,0.0,2.0,1.0,0.0
6,9,0.0,0.0,2.0,1.0,0.0
6,10,0.0,0.0,2.0,1.0,0.0
6,8,0.0,0.0,2.0,1.0,0.0
6,11,0.0,0.0,2.0,1.0,0.0
6,12,0.0,0.0,2.0,1.0,0.0
6,10,0.0,0.0,2.0,1.0,0.0
6,12,0.0,0.0,2.0,1.0,0.0
6,8,0.0,0.0,2.0,1.0,0.0
6,10,0.0,0.0,2.0,1.0,0.0
6,8,0.0,0.0,2.0,1.0,0.0
6,8,0.0,0.0,2.0,1.0,0.0
6,7,0.0,0.0,2.0,1.0,0.0
6,9,0.0,0.0,2.0,1.0,0.0
6,8,0.0,0.0,2.0,1.0,0.0
6,8,0.0,0.0,2.0,1.0,0.0
6,7,0.0,0.0,1.0,1.0,0.0
6,5,0.0,1.0,1.0,1.0,0.0
6,6,0.0,0.0,1.0,1.0,0.0
6,5,0.0,0.0,1.0,1.0,0.0
6,7,0.0,0.0,1.0,1.0,0.0
6,5,0.0,0.0,1.0,1.0,0.0
6,5,1.0,0.0,1.0,1.0,0.0
6,9,0.0,0.0,1.0,1.0,0.0
6,9,0.0,0.0,1.0,1.0,0.0
6,9,0.0,0.0,1.0,1.0,0.0
6,6,0.0,0.0,1.0,1.0,0.0
6,7,0.0,0.0,1.0,1.0,0.0
6,6,0.0,0.0,1.0,1.0,0.0
6,4,0.0,0.0,1.0,1.0,0.0
6,8,0.0,0.0,1.0,1.0,0.0
